crate_wood1;crate_wood;-1800;30000;
crate_wood2;crate_wood;-900;31000;
crate_wood4;crate_wood;900;33000;
crate_wood5;crate_wood;1800;34000;
crate_wood6;crate_wood;-1800;31000;
crate_wood7;crate_wood;-900;32000;
crate_wood8;crate_wood;0;33000;
crate_wood9;crate_wood;900;34000;
crate_wood10;crate_wood;1800;35000;
crate_wood11;crate_wood;-1800;32000;
crate_wood12;crate_wood;-900;33000;
crate_wood13;crate_wood;0;34000;
crate_wood14;crate_wood;900;35000;
crate_wood15;crate_wood;1800;36000;
block_concrete00;wall_concrete;-800;4000;
block_concrete01;wall_concrete;1900;6000;
block_concrete02;wall_concrete;-800;9000;
block_concrete03;wall_concrete;1900;12000;
block_concrete04;wall_concrete;-800;15000;
block_concrete05;wall_concrete;1900;18000;
block_concrete06;wall_concrete;-800;21000;
block_concrete07;wall_concrete;1900;24000;
player;player;0;32000;
block_concrete08;wall_concrete;-8000;0;
block_concrete09;wall_concrete;-7000;0;
block_concrete10;wall_concrete;-6000;0;
block_concrete11;wall_concrete;-5000;0;
block_concrete12;wall_concrete;-4000;0;
block_concrete13;wall_concrete;-3000;0;
block_concrete14;wall_concrete;-2000;0;
block_concrete15;wall_concrete;-1000;0;
block_concrete16;wall_concrete;0;0;
block_concrete17;wall_concrete;1000;0;
block_concrete18;wall_concrete;2000;0;
block_concrete19;wall_concrete;3000;0;
block_concrete20;wall_concrete;4000;0;
block_concrete21;wall_concrete;5000;0;
block_concrete22;wall_concrete;6000;0;
block_concrete23;wall_concrete;7000;0;
block_concrete24;wall_concrete;8000;0;
block_concrete25;wall_concrete;8000;1000;
block_concrete26;wall_concrete;8000;2000;
block_concrete27;wall_concrete;8000;3000;
block_concrete28;wall_concrete;8000;4000;
block_concrete29;wall_concrete;8000;5000;
block_concrete30;wall_concrete;8000;6000;
block_concrete31;wall_concrete;8000;7000;
block_concrete32;wall_concrete;8000;8000;
block_concrete33;wall_concrete;8000;9000;
block_concrete34;wall_concrete;8000;10000;
block_concrete35;wall_concrete;8000;11000;
block_concrete36;wall_concrete;8000;12000;
block_concrete37;wall_concrete;8000;13000;
block_concrete38;wall_concrete;8000;14000;
block_concrete39;wall_concrete;8000;15000;
block_concrete40;wall_concrete;8000;16000;
block_concrete41;wall_concrete;8000;17000;
block_concrete42;wall_concrete;8000;18000;
block_concrete43;wall_concrete;8000;19000;
block_concrete44;wall_concrete;8000;20000;
block_concrete45;wall_concrete;8000;21000;
block_concrete46;wall_concrete;8000;22000;
block_concrete47;wall_concrete;8000;23000;
block_concrete48;wall_concrete;8000;24000;
block_concrete49;wall_concrete;8000;25000;
block_concrete50;wall_concrete;8000;26000;
block_concrete51;wall_concrete;9000;26000;
block_concrete52;wall_concrete;10000;26000;
block_concrete53;wall_concrete;11000;26000;
block_concrete54;wall_concrete;12000;26000;
block_concrete55;wall_concrete;13000;26000;
block_concrete56;wall_concrete;14000;26000;
block_concrete57;wall_concrete;15000;26000;
block_concrete58;wall_concrete;16000;26000;
block_concrete59;wall_concrete;17000;26000;
block_concrete60;wall_concrete;18000;26000;
block_concrete61;wall_concrete;19000;26000;
block_concrete62;wall_concrete;20000;26000;
block_concrete63;wall_concrete;21000;26000;
block_concrete64;wall_concrete;22000;26000;
block_concrete65;wall_concrete;23000;26000;
block_concrete66;wall_concrete;24000;26000;
block_concrete67;wall_concrete;25000;26000;
block_concrete68;wall_concrete;26000;26000;
block_concrete69;wall_concrete;-8000;1000;
block_concrete70;wall_concrete;-8000;2000;
block_concrete71;wall_concrete;-8000;3000;
block_concrete72;wall_concrete;-8000;4000;
block_concrete73;wall_concrete;-8000;5000;
block_concrete74;wall_concrete;-8000;6000;
block_concrete75;wall_concrete;-8000;7000;
block_concrete76;wall_concrete;-8000;8000;
block_concrete77;wall_concrete;-8000;9000;
block_concrete78;wall_concrete;-8000;10000;
block_concrete79;wall_concrete;-8000;11000;
block_concrete80;wall_concrete;-8000;12000;
block_concrete81;wall_concrete;-8000;13000;
block_concrete82;wall_concrete;-8000;14000;
block_concrete83;wall_concrete;-8000;15000;
block_concrete84;wall_concrete;-8000;16000;
block_concrete85;wall_concrete;-8000;17000;
block_concrete86;wall_concrete;-8000;18000;
block_concrete87;wall_concrete;-8000;19000;
block_concrete88;wall_concrete;-8000;20000;
block_concrete89;wall_concrete;-8000;21000;
block_concrete90;wall_concrete;-8000;22000;
block_concrete91;wall_concrete;-8000;23000;
block_concrete92;wall_concrete;-8000;24000;
block_concrete93;wall_concrete;-8000;25000;
block_concrete94;wall_concrete;-8000;26000;
